created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T10:28:03+00:00,79,2.86850,5.41299,5.58799,56718.02734,19772.73633,0.89168,0.03233,0.96767,,,,
2025-06-15T10:28:56+00:00,80,2.90615,5.21467,5.41299,57462.58594,19772.73633,0.88322,0.03803,0.96197,,,,
2025-06-15T10:30:36+00:00,81,2.99499,4.78409,5.08587,59219.22266,19772.73633,0.86388,0.06308,0.93692,,,,
2025-06-15T10:31:26+00:00,82,2.94454,5.02247,4.78409,58221.55859,19772.73633,0.87476,0.04746,0.95254,,,,
2025-06-15T10:32:18+00:00,83,2.97241,4.88884,5.02247,58772.73047,19772.73633,0.86872,0.02733,0.97267,,,,
2025-06-15T10:33:09+00:00,84,2.94454,5.02247,4.88884,58221.55859,19772.73633,0.87476,0.02661,0.97339,,,,
2025-06-15T10:34:03+00:00,85,2.95008,4.99550,5.02247,58331.18359,19772.73633,0.87355,0.00540,0.99460,,,,
2025-06-15T10:36:03+00:00,86,2.96308,4.93305,4.81010,58588.14844,19772.73633,0.87073,0.02492,0.97508,,,,
2025-06-15T10:36:49+00:00,87,2.95564,4.96866,4.93305,58441.10938,19772.73633,0.87234,0.00717,0.99283,,,,
2025-06-15T10:39:41+00:00,88,2.95750,4.95974,4.91533,58477.82031,19772.73633,0.87194,0.00895,0.99105,,,,
2025-06-15T10:40:37+00:00,89,2.96308,4.93305,4.95974,58588.14844,19772.73633,0.87073,0.00541,0.99459,,,,
2025-06-15T10:41:31+00:00,90,2.97991,4.85372,4.93305,58920.99609,19772.73633,0.86711,0.01635,0.98365,,,,
2025-06-15T10:42:23+00:00,91,2.97803,4.86248,4.85372,58883.88281,19772.73633,0.86751,0.00180,0.99820,,,,
2025-06-15T10:43:14+00:00,92,2.96867,4.90649,4.86248,58698.79297,19772.73633,0.86952,0.00897,0.99103,,,,
2025-06-15T10:44:44+00:00,93,3.59508,2.83665,2.87769,58477.82031,16266.06543,0.87194,0.01447,0.98553,,,,
2025-06-15T10:45:34+00:00,94,3.62690,2.76601,2.83665,58995.35156,16266.06543,0.86630,0.02554,0.97446,,,,
2025-06-15T10:46:26+00:00,95,3.60413,2.81632,2.76602,58624.99609,16266.06543,0.87033,0.01786,0.98214,,,,
2025-06-15T10:47:16+00:00,96,3.61321,2.79611,2.81632,58772.73047,16266.06543,0.86872,0.00723,0.99277,,,,
2025-06-15T10:48:05+00:00,97,3.62690,2.76601,2.79611,58995.35156,16266.06543,0.86630,0.01088,0.98912,,,,
2025-06-15T10:48:56+00:00,98,3.62690,2.76601,2.76602,58995.35156,16266.06543,0.86630,0.00000,1.00000,,,,
2025-06-15T10:49:45+00:00,99,3.64066,2.73619,2.76602,59219.22266,16266.06543,0.86388,0.01090,0.98910,,,,
2025-06-15T10:50:35+00:00,100,3.64066,2.73619,2.73619,59219.22266,16266.06543,0.86388,0.00000,1.00000,,,,
2025-06-15T10:51:24+00:00,101,3.64296,2.73125,2.73619,59256.64844,16266.06543,0.86348,0.00181,0.99819,,,,
2025-06-15T10:52:14+00:00,102,3.64988,2.71646,2.73125,59369.15625,16266.06543,0.86227,0.00544,0.99456,,,,
2025-06-15T10:53:03+00:00,103,3.65913,2.69685,2.71646,59519.66406,16266.06543,0.86066,0.00727,0.99273,,,,
2025-06-15T10:53:53+00:00,104,3.64296,2.73125,2.69685,59256.64844,16266.06543,0.86348,0.01259,0.98741,,,,
2025-06-15T10:54:42+00:00,105,3.67774,2.65798,2.73125,59822.37109,16266.06543,0.85744,0.02757,0.97243,,,,
2025-06-15T10:55:32+00:00,106,3.72013,2.57222,2.65798,60511.85156,16266.06543,0.85018,0.03334,0.96666,,,,
2025-06-15T10:56:21+00:00,107,3.72726,2.55815,2.57222,60627.90625,16266.06543,0.84897,0.00550,0.99450,,,,
2025-06-15T10:57:11+00:00,108,3.67541,2.66281,2.55815,59784.40625,16266.06543,0.85784,0.03930,0.96070,,,,
2025-06-15T10:58:00+00:00,109,3.68944,2.63392,2.66281,60012.71875,16266.06543,0.85542,0.01097,0.98903,,,,
