date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-18T10:28:41+00:00,2375,27.7,77.2,17.7,21.9,2.31325,403.86368
2025-06-18T10:29:31+00:00,2376,27.7,77.1,17.8,22.4,2.30214,404.10831
2025-06-18T10:30:24+00:00,2377,27.7,77.1,17.7,23.0,2.20948,404.18491
2025-06-18T10:31:14+00:00,2378,27.7,77.1,17.1,21.9,2.28557,404.14645
2025-06-18T10:32:04+00:00,2379,27.7,76.9,16.5,19.5,2.28006,404.14645
2025-06-18T10:32:56+00:00,2380,27.7,76.9,17.3,20.8,2.32439,404.19263
2025-06-18T10:33:46+00:00,2381,27.7,77.0,18.0,23.5,2.32998,404.17719
2025-06-18T10:34:40+00:00,2382,27.7,77.0,16.8,20.6,2.36375,404.12354
2025-06-18T10:35:29+00:00,2383,27.7,76.9,17.0,21.3,2.32439,404.16946
2025-06-18T10:36:19+00:00,2384,27.7,76.7,16.8,20.0,2.33558,404.19263
2025-06-18T10:37:09+00:00,2385,27.6,77.0,17.5,21.7,2.34119,404.2081
2025-06-18T10:37:58+00:00,2386,27.7,76.8,17.4,20.5,2.33558,404.1618
2025-06-18T10:38:52+00:00,2387,27.7,76.6,17.0,20.0,2.1775,404.1618
2025-06-18T10:39:41+00:00,2388,27.7,76.7,18.4,23.3,2.22561,404.18491
2025-06-18T10:40:34+00:00,2389,27.7,76.4,16.7,19.8,2.33558,404.17719
2025-06-18T10:41:30+00:00,2390,27.7,76.2,16.7,19.4,2.33558,404.19263
2025-06-18T10:42:20+00:00,2391,27.7,76.3,16.8,20.1,2.34119,404.15411
2025-06-18T10:43:09+00:00,2392,27.7,76.4,17.5,20.7,2.34682,404.17719
2025-06-18T10:44:03+00:00,2393,27.7,76.6,17.3,20.9,2.35809,404.20035
2025-06-18T10:45:01+00:00,2394,27.7,76.3,17.6,23.2,2.29661,404.14645
2025-06-18T10:45:56+00:00,2395,27.7,76.3,16.2,20.3,2.31325,404.18491
2025-06-18T10:46:46+00:00,2396,27.7,76.4,17.3,22.6,2.35809,404.24701
2025-06-18T10:47:43+00:00,2397,27.7,76.2,16.8,20.8,2.38078,404.1618
2025-06-18T10:48:33+00:00,2398,27.7,76.4,16.7,21.5,2.16692,404.2081
2025-06-18T10:49:22+00:00,2399,27.6,76.1,16.4,20.6,2.37509,404.24701
2025-06-18T10:50:12+00:00,2400,27.6,76.4,17.0,20.0,2.35809,404.26266
2025-06-18T10:51:01+00:00,2401,27.6,76.4,16.4,20.6,2.25815,404.2392
2025-06-18T10:51:58+00:00,2402,27.6,76.4,17.1,20.4,2.40938,404.20035
2025-06-18T10:52:55+00:00,2403,27.7,76.2,17.2,20.6,2.4209,404.22363
2025-06-18T10:53:44+00:00,2404,27.7,76.5,16.2,20.1,2.36375,404.1618
2025-06-18T10:54:34+00:00,2405,27.6,76.5,17.1,21.1,2.20948,404.19263
2025-06-18T10:55:23+00:00,2406,27.6,76.5,18.1,21.3,2.38078,404.18491
2025-06-18T10:56:13+00:00,2407,27.7,76.3,17.8,23.0,2.37509,404.15411
2025-06-18T10:57:02+00:00,2408,27.7,76.1,17.5,23.3,2.35245,404.13879
2025-06-18T10:57:51+00:00,2409,27.6,76.2,16.8,20.9,2.39219,404.12354
2025-06-18T10:58:41+00:00,2410,27.7,76.0,17.4,21.3,2.36375,403.74948
2025-06-18T10:59:30+00:00,2411,27.6,76.1,16.9,20.8,2.28557,404.18491
2025-06-18T11:00:25+00:00,2412,27.6,76.0,16.5,20.6,2.34119,404.19263
2025-06-18T11:01:14+00:00,2413,27.7,76.0,17.8,21.3,2.39791,404.22363
2025-06-18T11:02:03+00:00,2414,27.6,76.2,18.4,24.1,2.38648,404.28622
2025-06-18T11:02:55+00:00,2415,27.6,76.2,19.0,24.3,2.40938,404.19263
2025-06-18T11:03:44+00:00,2416,27.7,76.5,19.6,25.9,2.41513,404.2081
2025-06-18T11:04:36+00:00,2417,27.7,76.6,19.2,25.1,2.41513,404.21585
2025-06-18T11:05:25+00:00,2418,27.7,76.5,19.0,22.9,2.23642,404.18491
2025-06-18T11:06:15+00:00,2419,27.7,76.5,18.1,23.1,2.41513,404.19263
2025-06-18T11:07:04+00:00,2420,27.7,76.2,17.6,23.3,2.38648,404.20035
2025-06-18T11:07:54+00:00,2421,27.7,76.2,19.6,25.6,2.41513,404.18491
2025-06-18T11:08:43+00:00,2422,27.6,76.8,18.5,24.9,2.26362,404.19263
2025-06-18T11:09:35+00:00,2423,27.6,76.2,18.4,24.6,2.4209,404.21585
2025-06-18T11:10:32+00:00,2424,27.6,77.2,18.6,24.1,2.34119,404.18491
2025-06-18T11:11:25+00:00,2425,27.7,77.5,21.1,29.8,2.43826,404.17719
2025-06-18T11:12:16+00:00,2426,27.7,77.9,20.3,26.3,2.37509,404.18491
2025-06-18T11:13:05+00:00,2427,27.7,78.3,21.0,27.6,2.39791,404.08554
2025-06-18T11:13:54+00:00,2428,27.7,78.3,21.2,27.3,2.43826,404.13879
2025-06-18T11:14:44+00:00,2429,27.7,78.5,20.4,25.9,2.35809,404.10071
2025-06-18T11:15:33+00:00,2430,27.7,78.6,19.7,25.9,2.42667,404.1618
2025-06-18T11:16:23+00:00,2431,27.7,78.5,18.7,23.2,2.26362,404.17719
2025-06-18T11:17:12+00:00,2432,27.7,78.5,18.9,23.6,2.2527,404.07043
2025-06-18T11:18:01+00:00,2433,27.7,78.8,19.6,26.0,2.34119,404.14645
2025-06-18T11:18:51+00:00,2434,27.8,78.7,18.8,24.1,2.45572,404.16946
2025-06-18T11:19:40+00:00,2435,27.8,78.6,18.9,25.4,2.24727,404.13879
2025-06-18T11:20:29+00:00,2436,27.8,78.4,19.0,24.6,2.36375,404.13113
2025-06-18T11:21:19+00:00,2437,27.8,78.5,17.9,21.8,2.37509,404.14645
2025-06-18T11:24:17+00:00,2438,27.8,78.2,17.3,23.2,2.40364,404.14645
2025-06-18T11:25:07+00:00,2439,27.7,77.5,16.9,20.3,2.24727,404.12354
2025-06-18T11:25:56+00:00,2440,27.6,76.0,17.1,21.9,2.20948,404.11591
2025-06-18T11:26:50+00:00,2441,27.5,76.1,16.8,22.3,2.43826,404.17719
2025-06-18T11:27:40+00:00,2442,27.6,77.4,16.6,21.9,2.39791,404.0629
2025-06-18T11:28:29+00:00,2443,27.6,78.1,18.3,25.2,2.38648,403.7991
2025-06-18T11:29:23+00:00,2444,27.6,76.7,18.8,27.7,2.43246,404.1618
2025-06-18T11:30:12+00:00,2445,27.6,77.2,17.9,23.6,2.34119,404.17719
2025-06-18T11:31:05+00:00,2446,27.6,77.2,18.8,25.7,2.43246,404.18491
2025-06-18T11:32:48+00:00,2447,27.7,77.7,20.2,27.5,2.31325,404.1618
2025-06-18T11:33:37+00:00,2448,27.6,77.9,19.7,30.2,2.43246,404.11591
2025-06-18T11:34:27+00:00,2449,27.6,78.0,20.1,27.1,2.36941,404.01047
2025-06-18T11:35:16+00:00,2450,27.6,78.1,19.5,27.4,2.43826,404.10831
2025-06-18T11:36:06+00:00,2451,27.6,78.0,18.3,25.4,2.43826,404.18491
2025-06-18T11:36:55+00:00,2452,27.6,78.3,18.0,24.8,2.44407,404.07797
2025-06-18T11:37:44+00:00,2453,27.7,78.1,18.2,24.5,2.30214,404.01791
2025-06-18T11:38:34+00:00,2454,27.7,78.0,17.4,23.5,2.42667,404.13879
2025-06-18T11:39:27+00:00,2455,27.7,78.1,17.1,24.0,2.36375,404.01047
2025-06-18T11:40:19+00:00,2456,27.7,78.0,17.5,23.3,2.41513,404.10831
2025-06-18T11:41:08+00:00,2457,27.7,78.2,17.5,23.1,2.43246,404.13879
2025-06-18T11:41:58+00:00,2458,27.7,78.4,17.7,23.0,2.40364,404.02539
2025-06-18T11:42:50+00:00,2459,27.7,78.2,18.0,23.7,2.31881,404.12354
2025-06-18T11:43:40+00:00,2460,27.7,78.5,17.4,23.0,2.44407,404.1618
2025-06-18T11:45:26+00:00,2461,27.7,78.6,17.7,22.9,2.43246,404.16946
2025-06-18T11:46:18+00:00,2462,27.6,78.4,18.8,25.6,2.16692,404.14645
2025-06-18T11:47:10+00:00,2463,27.7,78.9,18.7,23.4,2.37509,404.20035
2025-06-18T11:48:00+00:00,2464,27.7,78.9,17.4,24.8,2.44407,404.13879
2025-06-18T11:48:51+00:00,2465,27.6,79.1,18.7,28.1,2.4209,404.1618
2025-06-18T11:49:41+00:00,2466,27.6,78.9,18.1,24.5,2.44407,404.16946
2025-06-18T11:50:30+00:00,2467,27.6,78.9,18.5,25.6,2.34682,404.15411
2025-06-18T11:51:20+00:00,2468,27.7,78.7,17.3,23.7,2.46742,404.15411
2025-06-18T11:52:09+00:00,2469,27.7,78.8,17.8,24.0,2.43246,403.70041
2025-06-18T11:53:01+00:00,2470,27.7,79.0,18.4,26.0,2.25815,404.17719
2025-06-18T11:53:51+00:00,2471,27.7,79.1,18.1,23.6,2.44407,404.17719
2025-06-18T11:54:43+00:00,2472,27.7,79.1,18.3,25.0,2.44407,404.20035
2025-06-18T11:55:41+00:00,2473,27.6,79.2,17.8,23.5,2.46742,404.1618
2025-06-18T11:56:31+00:00,2474,27.6,79.4,17.9,26.1,2.46742,404.18491
2025-06-18T11:57:20+00:00,2475,27.6,79.4,18.4,24.7,2.39791,404.13113
2025-06-18T11:58:12+00:00,2476,27.7,79.3,17.2,23.0,2.32998,404.17719
2025-06-18T11:59:05+00:00,2477,27.6,79.3,17.4,24.8,2.45572,404.20035
2025-06-18T11:59:54+00:00,2478,27.6,79.4,17.6,22.7,2.43246,404.18491
2025-06-18T12:00:44+00:00,2479,27.5,79.6,17.9,23.0,2.36375,404.1618
2025-06-18T12:01:33+00:00,2480,27.5,79.7,17.6,22.3,2.43826,404.21585
2025-06-18T12:02:23+00:00,2481,27.5,79.9,17.0,24.2,2.44407,403.94385
2025-06-18T12:03:13+00:00,2482,27.4,79.9,17.6,24.3,2.44989,404.2081
2025-06-18T12:04:05+00:00,2483,27.4,80.1,16.9,22.4,2.52658,404.18491
2025-06-18T12:05:03+00:00,2484,27.3,80.2,17.3,22.7,2.26362,404.12354
2025-06-18T12:06:00+00:00,2485,27.3,80.3,17.2,21.8,2.35809,404.09311
2025-06-18T12:06:49+00:00,2486,27.3,80.3,17.7,23.8,2.35245,404.08554
2025-06-18T12:07:39+00:00,2487,27.4,80.4,17.0,21.0,2.40938,404.03287
